"Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 2 Monaten,1,""Super Behandlung und schöne Atmosphäre!";
"Mir wurde sehr geholfen!""";
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 8 Monaten,Gefällt mir,Gute Mitarbeiter;
"Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor einem Jahr,13,""Das Vorgespräch war sehr gut, dachte ich aber auch nur, denn wie die über mich gesprochen haben ist das allerletzte: meine Therapeutin angelogen und mich auch am Telefon fertig gemacht, als ich die Psychologin auf ihre Aktion angesprochen habe. Also ich bin schon mit der Klinik mehr als unzufrieden und das obwohl ich nicht aufgenommen wurde. Also ich kann die Klinik nicht empfehlen. Hätten die zugesagt ,hätte ich sogar wieder abgesagt und hätte weiter geguckt, was ich auch mit Erfolg (zumindest was der Fund der Klinik angeht) getan habe.""";
"Asklepios Fachklinikum Tiefenbrunn,4, 4 Sterne ,vor 3 Jahren,3,""Alle sind bemüht, Umgebung ist top. Man sollte hierfür aber halbwegs stabil sein und viel in Eigenregie durchführen können. Oft fallen Therapien aus. Das Essen ist okay finde ich. War gerne hier, würde es auch weiter empfehlen.""";
Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor 2 Jahren,11,Schrecklich!!! Ein Albtraum! Die Pflege sind Katastrophal! Die Unterbringung sind ebenfalls nur ein Albtraum und deine Probleme werden überhaupt nicht ernst genommen!. Die Pfleger machen sich lustig über die Probleme der Patienten und schikanieren teilweise die mit Patienten. Niemals nach Tiefenbrunnen !;
"Asklepios Fachklinikum Tiefenbrunn,4, 3 Sterne ,vor 5 Jahren,7,""Nicht für Rollstuhlfahrer geeignet. Therapeuten sind freundlich und kompetent, das Pflegepersonal bemüht sich, den Patienten einen angenehmen Aufenthalt zu bewerkstelligen. Ist man jedoch entlassen, ist es schwer eventuell benötigte Unterlagen für eine weitere Behandlung nachträglich zum erhalten. Emailanfragen laufen ins Leere und telefonisch einen zuständigen Bearbeiter zu erreichen fast unmöglich, da viele nur in Teilzeit arbeiten.""";
Asklepios Fachklinikum Tiefenbrunn,4, 4 Sterne ,vor 2 Jahren,2,Herr Herbst und Herr Dümpelmann waren die besten;
"Asklepios Fachklinikum Tiefenbrunn,4, 4 Sterne ,vor 3 Jahren,1,""Therapie absolut in Ordnung. Leider Abzüge in der """"B-Note"""".""";
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 5 Jahren,3,Eine super Klinik. Kann ich nur weiter empfehlen;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 3 Jahren,6,Mir wurde nur positives über diese Klinik berichtet und kann nur positives darüber und über ihre Mitarbeiter hinterlassen! Danke ♡;
"Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor 3 Jahren,14,""schreckliche KLinik, unfähiges Personal, mangelhafte Unterbringung und Verpflegung, ein einziges Trauma, bloß woanders hin, NICHT NACH TIEFENBRUNN, KEINESFALLS""";
"Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor 6 Monaten,1,""(Übersetzt von Google) Traumatisch";
;
(Original);
"Traumatic""";
Asklepios Fachklinikum Tiefenbrunn,4, 2 Sterne ,vor 8 Monaten,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor einem Jahr,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 4 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 3 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor 3 Monaten,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 2 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor einem Jahr,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 1 Stern ,vor einer Woche,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 2 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 4 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 7 Jahren,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor einem Monat,0,;
Asklepios Fachklinikum Tiefenbrunn,4, 5 Sterne ,vor 3 Jahren,0,;
Die Therapeuten dort sind super und die Pfleger sind immer erreichbar, sowie Unterstützen einem sowie es geht. Man lernt viel und wenn man Borderline hat, reicht es vielleicht nicht einmal hier zu sein, sondern doch mehrmals und man hat immer wieder andere Ziele und Probleme die man mitbringt.;
;
"Ich finde, dass das Essen schon besser sein könnte.""";
